iteration,timestamp,model_type,evaluated_images,iou_threshold,precision,recall,f1_score,mean_iou,map,matching_rate,total_detections,total_ground_truths,total_matched_pairs,unmatched_detections,unmatched_gts,num_classes,classes_perfect_score,classes_zero_score
layer3.0.conv2_iter_17_eval_set0,2025-08-03 21:53:08,pruned_network,50,0.5,0.6423841059602649,0.6423841059602649,0.6423841059602649,0.4951290409012521,0.561856358190537,1.0,151,151,151,0,0,39,22,6
layer3.0.conv2_iter_17_eval_set1,2025-08-03 21:53:49,pruned_network,50,0.5,0.42613636363636365,0.42613636363636365,0.42613636363636365,0.37813877834459403,0.3324059561128527,1.0,176,176,176,0,0,38,13,14
layer3.1.conv1_iter_18_training_set,2025-08-04 11:12:59,pruned_network,50,0.5,0.6097560975609756,0.6097560975609756,0.6097560975609756,0.5096360892397642,0.5564547400705593,1.0,164,164,164,0,0,47,16,11
layer3.1.conv1_iter_18_eval_set0,2025-08-04 11:13:40,pruned_network,50,0.5,0.5362318840579711,0.5362318840579711,0.5362318840579711,0.44202932165843767,0.4396407514054573,1.0,138,138,138,0,0,41,12,11
layer3.1.conv1_iter_18_eval_set1,2025-08-04 11:14:19,pruned_network,50,0.5,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.49241606248015396,0.5406909058252765,1.0,126,126,126,0,0,40,20,14
layer3.1.conv2_iter_19_training_set,2025-08-04 19:28:05,pruned_network,50,0.5,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.4751771666049193,0.44063684563206096,1.0,156,156,156,0,0,46,14,15
layer3.1.conv2_iter_19_eval_set0,2025-08-04 19:28:48,pruned_network,50,0.5,0.572139303482587,0.572139303482587,0.572139303482587,0.4589372474742752,0.4436690370939843,1.0,201,201,201,0,0,45,16,10
layer3.1.conv2_iter_19_eval_set1,2025-08-04 19:29:29,pruned_network,50,0.5,0.5202702702702703,0.5202702702702703,0.5202702702702703,0.42767391694827434,0.43412257247396563,1.0,148,148,148,0,0,41,17,12
layer3.2.conv1_iter_20_training_set,2025-08-05 08:41:45,pruned_network,50,0.5,0.5887096774193549,0.5887096774193549,0.5887096774193549,0.4728999937859214,0.46510393793002486,1.0,124,124,124,0,0,49,15,15
layer3.2.conv1_iter_20_eval_set0,2025-08-05 08:42:26,pruned_network,50,0.5,0.49162011173184356,0.49162011173184356,0.49162011173184356,0.41153347204745166,0.30421887779509577,1.0,179,179,179,0,0,43,12,10
layer3.2.conv1_iter_20_eval_set1,2025-08-05 08:43:06,pruned_network,50,0.5,0.4245810055865922,0.4245810055865922,0.4245810055865922,0.3633037395622256,0.3492774143150083,1.0,179,179,179,0,0,46,17,18
layer3.2.conv2_iter_21_training_set,2025-08-05 20:54:52,pruned_network,50,0.5,0.5428571428571428,0.5428571428571428,0.5428571428571428,0.43949840151181724,0.44140334838009254,1.0,175,175,175,0,0,48,11,13
layer3.2.conv2_iter_21_eval_set0,2025-08-05 20:55:35,pruned_network,50,0.5,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.4028893320869941,0.3005066141289051,1.0,153,153,153,0,0,40,12,11
layer3.2.conv2_iter_21_eval_set1,2025-08-05 20:56:15,pruned_network,50,0.5,0.6103896103896104,0.6103896103896104,0.6103896103896104,0.4943953056007009,0.5629154689829283,1.0,154,154,154,0,0,44,19,16
layer3.3.conv1_iter_22_training_set,2025-08-06 09:15:51,pruned_network,50,0.5,0.5251798561151079,0.5251798561151079,0.5251798561151079,0.4382357500560194,0.38152140115197286,1.0,139,139,139,0,0,47,14,12
layer3.3.conv1_iter_22_eval_set0,2025-08-06 09:16:33,pruned_network,50,0.5,0.5182926829268293,0.5182926829268293,0.5182926829268293,0.41963840967606825,0.4253715989080865,1.0,164,164,164,0,0,44,15,13
layer3.3.conv1_iter_22_eval_set1,2025-08-06 09:17:13,pruned_network,50,0.5,0.40476190476190477,0.40476190476190477,0.40476190476190477,0.3671663075497306,0.26525308861059,1.0,168,168,168,0,0,38,9,17
layer3.3.conv2_iter_23_training_set,2025-08-06 19:29:53,pruned_network,50,0.5,0.5942857142857143,0.5942857142857143,0.5942857142857143,0.4683862945642317,0.4590145603567887,1.0,175,175,175,0,0,49,12,14
layer3.3.conv2_iter_23_eval_set0,2025-08-06 19:30:35,pruned_network,50,0.5,0.489010989010989,0.489010989010989,0.489010989010989,0.4160207940454968,0.36402887926916794,1.0,182,182,182,0,0,43,10,14
layer3.3.conv2_iter_23_eval_set1,2025-08-06 19:31:15,pruned_network,50,0.5,0.44525547445255476,0.44525547445255476,0.4452554744525547,0.3685629905871287,0.29107210907397213,1.0,137,137,137,0,0,37,13,15
layer3.4.conv1_iter_24_training_set,2025-08-07 10:49:28,pruned_network,50,0.5,0.5371428571428571,0.5371428571428571,0.5371428571428571,0.43668295953371633,0.44666103843776644,1.0,175,175,175,0,0,47,13,12
layer3.4.conv1_iter_24_eval_set0,2025-08-07 10:50:09,pruned_network,50,0.5,0.310126582278481,0.310126582278481,0.310126582278481,0.3150581911953886,0.24276537573688184,1.0,158,158,158,0,0,45,10,17
layer3.4.conv1_iter_24_eval_set1,2025-08-07 10:50:49,pruned_network,50,0.5,0.4423076923076923,0.4423076923076923,0.4423076923076923,0.35437989663053737,0.31128739002932554,1.0,156,156,156,0,0,36,13,13
